,Crime_ID,Month,Reported_by,Falls_within,Longitude,Latitude,Location,LSOA_code,LSOA_name,Crime_type,Last_outcome_category,Context,geometry
10,27ba7c00801cbfd96d3843051814f019aede1c6d51a6aa795df2396c3f236217,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.135554,51.584984999999996,On or near Rose Lane,E01000027,Barking and Dagenham 001A,Burglary,Under investigation,,POINT (15089.80225499073 6725430.487775374)
11,7566fdb03eb3c4ca3ad3f5ec7b09e0126d5c9f2cd9825dd5f733fdab6643e60d,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.14843399999999998,51.595164000000004,On or near Park/Open Space,E01000027,Barking and Dagenham 001A,Burglary,Under investigation,,POINT (16523.59729640956 6727254.326721988)
51,cdcce05d8b40d43bd8aa66a23d617a05ab329703599ee897119b9bab0a66be83,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.13511900000000002,51.578492,On or near Portland Close,E01000029,Barking and Dagenham 001C,Burglary,Under investigation,,POINT (15041.37827649679 6724267.307330753)
89,c945cbce31d46db4dd3e38ac3c82084be977f4ee526b801bf14267da8071055e,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.133908,51.573289,On or near Mayfair Avenue,E01000032,Barking and Dagenham 002B,Burglary,Under investigation,,POINT (14906.57037314561 6723335.342271083)
144,72520bc03de4189c5b817f3fa673a069b9bdd7cb5c87b4345a53c610b5a1baab,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.141982,51.572196999999996,On or near Whalebone Lane North,E01000112,Barking and Dagenham 002E,Burglary,Under investigation,,POINT (15805.36394180959 6723139.7559989)
159,5171cc30ef274d71634cc175f7240b031ceba3bfac48fe06a5c838ec76bbc9a7,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.132395,51.57087,On or near Supermarket,E01000113,Barking and Dagenham 002F,Burglary,Under investigation,,POINT (14738.14398357506 6722902.085598212)
188,fba7d662301a00b288f8d1ef857299941d5cde4df0c683d19bfc31bbcd6922d3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.180148,51.56153,On or near Gorseway,E01000037,Barking and Dagenham 003B,Burglary,Under investigation,,POINT (20053.9836274254 6721229.454742569)
195,470806c9bc680699cce85c1f553191dd33991b98361dd0cb2ac572a54865e4b5,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.175537,51.564683,On or near Supermarket,E01000038,Barking and Dagenham 003C,Burglary,Under investigation,,POINT (19540.68945537892 6721794.06355182)
196,221c922c797b15c6e77ac13b460beb4267d196a5b856cff91eddb0abfae9bbfe,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.169286,51.562793,On or near Legon Avenue,E01000038,Barking and Dagenham 003C,Burglary,Under investigation,,POINT (18844.83131842906 6721455.615892761)
217,ad268ad2fbc67832693704c254161b5d78b96e8b467b1983a09827aa766b76b3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.145299,51.55836,On or near Rowlands Road,E01000063,Barking and Dagenham 004A,Burglary,Under investigation,,POINT (16174.61069277217 6720661.84120045)
218,e974804a65badb447a4a33de3e663c1079bc64d5b995496110d4ceebf75d9a0b,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.144146,51.557149,On or near Nicholas Road,E01000063,Barking and Dagenham 004A,Burglary,Under investigation,,POINT (16046.25931988703 6720445.012527782)
233,f18b4915ac7fc303ac8ef3c3b4564e5f25ef276199ebff1482e326feae8c43f3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.139493,51.55852,On or near Grafton Road,E01000100,Barking and Dagenham 004B,Burglary,Under investigation,,POINT (15528.28972922575 6720690.489516331)
