x,y,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m,log_zinc,optional,mean,sd,X0.025quant,X0.5quant,X0.975quant,pr2
181072,333611,11.7,85,299,1022,7.909,0.00135803,13.6,1,1,1,Ah,50,6.92951677076365,TRUE,6.88283115013714,0.183905710974767,6.51862452218788,6.8839147590974,7.24104772312025,0.915462156478212
181025,333558,8.6,81,277,1141,6.983,0.0122243,14,1,1,1,Ah,30,7.03966034986208,TRUE,6.8785053744192,0.186690647494976,6.50915095535371,6.87950331948156,7.2423139973719,0.915462156478212
181165,333537,6.5,68,199,640,7.8,0.103029,13,1,1,1,Ah,150,6.46146817635372,TRUE,6.37048573566175,0.191150787165594,5.99525207078838,6.3704488850582,6.74601341948956,0.915462156478212
181298,333484,2.6,81,116,257,7.655,0.190094,8,1,2,0,Ga,270,5.54907608489522,TRUE,5.79194967505998,0.204518543663414,5.39272214679246,5.79123897641686,6.19518072931257,0.915462156478212
181307,333330,2.8,48,117,269,7.48,0.27709,8.7,1,2,0,Ah,380,5.59471137960184,TRUE,5.59997810971123,0.1742824647423,5.25814809227354,5.59982812461255,5.94268208645784,0.915462156478212
181390,333260,3,61,137,281,7.791,0.364067,7.8,1,2,0,Ga,470,5.63835466933375,TRUE,5.4727823431037,0.19687742237107,5.08477490633393,5.47335831681436,5.85766039122918,0.915462156478212
181165,333370,3.2,31,132,346,8.217,0.190094,9.2,1,2,0,Ah,240,5.84643877505772,TRUE,5.84134893808111,0.185393843559761,5.47698678368436,5.84145089732599,6.20517061331667,0.915462156478212
181027,333363,2.8,29,150,406,8.49,0.0921516,9.5,1,1,0,Ab,120,6.00635315960173,TRUE,6.23525405914927,0.17776681500223,5.88398658450241,6.23602399751176,6.58220620532062,0.915462156478212
181060,333231,2.4,37,133,347,8.668,0.184614,10.6,1,1,0,Ab,240,5.84932477994686,TRUE,5.79286674534969,0.134096183911587,5.53016661606175,5.79261829930503,6.05693947070227,0.915462156478212
181232,333168,1.6,24,80,183,9.049,0.309702,6.3,1,2,0,W,420,5.20948615284142,TRUE,5.34493310142103,0.176842235214924,4.99752001277939,5.34499989643504,5.69195020950353,0.915462156478212
181191,333115,1.4,25,86,189,9.015,0.315116,6.4,1,2,0,Fh,400,5.24174701505964,TRUE,5.31586558424218,0.168847647415687,4.98447929196657,5.31584856287609,5.64740687058097,0.915462156478212
181032,333031,1.8,25,97,251,9.073,0.228123,9,1,1,0,Ag,300,5.52545293913178,TRUE,5.55614186273282,0.184096948032626,5.19481207331875,5.55610655525595,5.91782190539273,0.915462156478212
