x,y,part.a,part.b,dist,soil,ffreq
181180,333740,1,0,0,1,1
181140,333700,1,0,0,1,1
181180,333700,1,0,0.0122243,1,1
181220,333700,1,0,0.0434678,1,1
181100,333660,1,0,0,1,1
181140,333660,1,0,0.0122243,1,1
181180,333660,1,0,0.0373395,1,1
181220,333660,1,0,0.0593662,1,1
181060,333620,1,0,0.00135803,1,1
181100,333620,1,0,0.0122243,1,1
181140,333620,1,0,0.0373395,1,1
181180,333620,1,0,0.0593662,1,1
181220,333620,1,0,0.0812247,1,1
181260,333620,1,0,0.101178,1,1
181020,333580,1,0,0,1,1
181060,333580,1,0,0.0122243,1,1
181100,333580,1,0,0.0484855,1,1
181140,333580,1,0,0.0593662,1,1
181180,333580,1,0,0.0812247,1,1
181220,333580,1,0,0.103029,1,1
181260,333580,1,0,0.12481,2,1
181300,333580,1,0,0.152165,2,1
180980,333540,1,0,0,1,1
181020,333540,1,0,0.0122243,1,1
181060,333540,1,0,0.0373395,1,1
181100,333540,1,0,0.0593662,1,1
181140,333540,1,0,0.0921488,1,1
181180,333540,1,0,0.103029,1,1
181220,333540,1,0,0.12481,1,1
181260,333540,1,0,0.146578,2,1
181300,333540,1,0,0.166504,2,1
180940,333500,1,0,0,1,1
180980,333500,1,0,0.0122243,1,1
181020,333500,1,0,0.0373395,1,1
181060,333500,1,0,0.0593662,1,1
181100,333500,1,0,0.0812247,1,1
181140,333500,1,0,0.103029,1,1
181180,333500,1,0,0.135698,1,1
181220,333500,1,0,0.146578,1,1
181260,333500,1,0,0.168339,2,1
181300,333500,1,0,0.190094,2,1
181340,333500,1,0,0.206375,2,1
180940,333460,1,0,0.00135803,1,1
180980,333460,1,0,0.0316663,1,1
181020,333460,1,0,0.0593636,1,1
181060,333460,1,0,0.0812247,1,1
181100,333460,1,0,0.103029,1,1
181140,333460,1,0,0.12481,1,1
181180,333460,1,0,0.146578,1,1
181220,333460,1,0,0.179213,2,1
181260,333460,1,0,0.190094,2,1
181300,333460,1,0,0.211846,2,1
181340,333460,1,0,0.233596,2,1
180900,333420,1,0,0,1,1
